harga_per_luas_area,jumlah_garasi,jumlah_kamar_tidur,jumlah_kamar_mandi,lokasi,luas_bangunan,luas_tanah,tipe_bangunan
305000000.0,1.0,3.0,1.0,mapanget,70.0,120.0,rumah
352000000.0,1.0,3.0,2.0,mapanget,118.0,200.0,rumah
213000000.0,1.0,2.0,1.0,mapanget,65.0,120.0,rumah
153000000.0,1.0,3.0,1.0,mapanget,85.0,126.0,rumah
18000000000.0,,,,tikala,,11600.0,tanah
3300000000.0,,2.0,,tikala,360.0,456.0,gudang
2000000.0,,,,mapanget,,3060.0,tanah
2100000000.0,,,,wanea,,600.0,tanah
2200000000.0,1.0,3.0,3.0,wanea,354.0,925.0,rumah
2200000000.0,1.0,4.0,4.0,mapanget,80.0,144.0,rumah
125000000.0,,,,paal dua,7.0,7.0,ruang usaha
3500000000.0,,2.0,1.0,tikala,100.0,305.0,rumah
600000000.0,2.0,4.0,3.0,mapanget,218.0,336.0,rumah
4500000000.0,,,,malalayang,73.0,300.0,rumah
515000000.0,,2.0,1.0,mapanget,58.0,120.0,rumah
453000000.0,,2.0,1.0,mapanget,48.0,120.0,rumah
1000000000.0,2.0,4.0,2.0,mapanget,200.0,464.0,rumah
1200000000.0,1.0,4.0,4.0,wanea,154.0,121.0,rumah
799000000.0,,1.0,,wanea,7.0,71.0,ruko
4000000000.0,1.0,4.0,2.0,wanea,300.0,472.0,rumah
999000000.0,1.0,3.0,3.0,malalayang,110.0,210.0,rumah
4000000000.0,,,,wanea,,414.0,tanah
1800000000.0,,,,mapanget,368.0,525.0,rumah
1800000000.0,,,,tuminting,230.0,240.0,rumah
977000000.0,,2.0,,sario,140.0,40.0,ruko
4500000000.0,,23.0,1.0,malalayang,600.0,758.0,ruang usaha
988000000.0,1.0,3.0,2.0,tikala,65.0,90.0,rumah
510000000.0,1.0,2.0,1.0,mapanget,56.0,132.0,rumah
1120000000.0,2.0,4.0,2.0,mapanget,127.0,540.0,rumah
230000000.0,1.0,3.0,2.0,mapanget,90.0,144.0,rumah
4550000000.0,,6.0,,paal dua,1088.0,1005.0,ruang usaha
824000000.0,1.0,3.0,1.0,wanea,108.0,90.0,rumah
617000000.0,1.0,3.0,2.0,tikala,81.0,197.0,rumah
7000000000.0,,,,tikala,1050.0,436.0,hotel
3000000000.0,,7.0,4.0,malalayang,300.0,500.0,rumah
998000000.0,,1.0,,mapanget,160.0,200.0,ruko
2000000000.0,1.0,4.0,4.0,malalayang,360.0,300.0,rumah
2770000000.0,1.0,3.0,3.0,mapanget,142.0,180.0,rumah
1850000000.0,,,,wanea,,220.0,tanah
12700000000.0,,,,mapanget,,8648.0,tanah
1300000000.0,,3.0,,wenang,256.0,90.0,ruko
3600000000.0,,3.0,,malalayang,324.0,143.0,ruko
663000000.0,1.0,2.0,2.0,mapanget,58.0,112.0,rumah
599000000.0,1.0,2.0,1.0,mapanget,46.0,112.0,rumah
1500000.0,,,,mapanget,,1500.0,tanah
375000000.0,,2.0,1.0,mapanget,48.0,98.0,rumah
275000000.0,,2.0,1.0,mapanget,45.0,84.0,rumah
3750000000.0,,,,mapanget,,502.0,tanah
1200000000.0,,,,malalayang,150.0,120.0,rumah
12500000000.0,,,,mapanget,450.0,1746.0,rumah
4250000000.0,,3.0,,wenang,429.0,256.0,ruko
1500000000.0,,,,paal dua,,2452.0,tanah
2600000000.0,,,,mapanget,260.0,200.0,rumah
3800000000.0,,,,malalayang,500.0,672.0,rumah
975000000.0,1.0,3.0,3.0,wanea,90.0,90.0,rumah
3000000000.0,,,,mapanget,200.0,253.0,rumah
350000000.0,,,,paal dua,,636.0,tanah
4820000000.0,,2.0,3.0,tikala,508.0,540.0,gudang
3270000000.0,,2.0,2.0,tikala,298.0,330.0,gudang
7500000000.0,1.0,50.0,50.0,malalayang,1000.0,1350.0,rumah
895000000.0,1.0,3.0,3.0,malalayang,150.0,160.0,rumah
